id,Presidency,President,Took office,Left office,Party,Portrait,Home state
1,1,George Washington,1789,1797,Independent,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/george-washington.jpg?itok=s7zCRZxq,Virginia
2,2,John Adams,1797,1801,Federalist,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/john-adams.jpg?itok=mV27ry3R,Massachusetts
3,3,Thomas Jefferson,1801,1809,Democratic-Republican,https://www.presidency.ucsb.edu/sies/default/files/styles/large/public/people/thomas-jefferson.jpg?itok=eYTmHFt9,Virginia
4,4,James Madison,1809,1817,Democratic-Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/james-madison.jpg?itok=z2D3sX32,Virginia
5,5,James Monroe,1817,1825,Democratic-Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/james-monroe.jpg?itok=RIUuZpKT,Virginia
6,6,John Quincy Adams,1825,1829,Democratic-Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/john-quincy-adams.jpg?itok=qoqqY8bZ,Massachusetts
7,7,Andrew Jackson,1829,1837,Democratic,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/andrew-jackson.jpg?itok=IDQOuvSQ,Tennessee
8,8,Martin Van Buren,1837,1841,Democratic,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/martin-van-buren.jpg?itok=9KwN9Y27,New York
9,9,William Henry Harrison,1841,1841,Whig,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/william-henry-harrison.jpg?itok=BDzXW6a0,Ohio
10,10,John Tyler,1841,1845,Whig,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/john-tyler.jpg?itok=RxaFvFp8,Virginia
11,11,James K. Polk,1845,1849,Democratic,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/james-k-polk.jpg?itok=ocZi7rGf,Tennessee
12,12,Zachary Taylor,1849,1850,Whig,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/zachary-taylor.jpg?itok=1whK13cN,Louisiana
13,13,Millard Fillmore,1850,1853,Whig,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/millard-fillmore.jpg?itok=A-459rRI,New York
14,14,Franklin Pierce,1853,1857,Democratic,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/franklin-pierce_1.jpg?itok=VQgtrdCV,New Hampshire
15,15,James Buchanan,1857,1861,Democratic,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/james-buchanan.jpg?itok=6Vept3Bh,Pennsylvania
16,16,Abraham Lincoln,1861,1865,Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/abraham-lincoln.jpg?itok=ULHo7X9j,Illinois
17,17,Andrew Johnson,1865,1869,Democratic,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/andrew-johnson_0.jpg?itok=PLg5rt4S,Tennessee
18,18,Ulysses S. Grant,1869,1877,Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/ulysses-s-grant.jpg?itok=Z1SVj-6-,Ohio
19,19,Rutherford B. Hayes,1877,1881,Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/rutherford-b-hayes.jpg?itok=r3Zu02I9,Ohio
20,20,James A. Garfield,1881,1881,Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/james-a-garfield.jpg?itok=g6lSsFmq,Ohio
21,21,Chester A. Arthur,1881,1885,Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/chester-a-arthur.jpg?itok=XeXgSizB,New York
22,22,Grover Cleveland,1885,1889,Democratic,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/grover-cleveland.jpg?itok=vbXEaQhT,New York
23,23,Benjamin Harrison,1889,1893,Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/benjamin-harrison.jpg?itok=oheJoxC-,Indiana
24,24,Grover Cleveland,1893,1897,Democratic,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/grover-cleveland_0.jpg?itok=-e55bWqb,New York
25,25,William McKinley,1897,1901,Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/william-mckinley.jpg?itok=_gZ7bI_4,Ohio
26,26,Theodore Roosevelt,1901,1909,Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/theodore-roosevelt_0.jpg?itok=J_iX-FbX,New York
27,27,William Howard Taft,1909,1913,Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/william-howard-taft.jpg?itok=CZBINZ94,Ohio
28,28,Woodrow Wilson,1913,1921,Democratic,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/woodrow-wilson.jpg?itok=KmHnmQ9H,New Jersey
29,29,Warren G. Harding,1921,1923,Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/warren-g-harding.jpg?itok=6rURDE6t,Ohio
30,30,Calvin Coolidge,1923,1929,Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/calvin-coolidge.jpg?itok=iOxBn7BK,Massachusetts
31,31,Herbert Hoover,1929,1933,Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/herbert-hoover.jpg?itok=HOhL4t6W,Iowa
32,32,Franklin D. Roosevelt,1933,1945,Democratic,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/franklin-d-roosevelt_2.jpg?itok=eFsHDDKw,New York
33,33,Harry S. Truman,1945,1953,Democratic,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/harry-s-truman_1.jpg?itok=gSqZMhi8,Missouri
34,34,Dwight D. Eisenhower,1953,1961,Republican,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/dwight-d-eisenhower_1.jpg?itok=V_P8mTJX,Texas
35,35,John F. Kennedy,1961,1963,Democratic,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/john-f-kennedy_2.jpg?itok=j8jzdM2l,Massachusetts
36,36,Lyndon B. Johnson,1963,1969,Democratic,https://www.presidency.ucsb.edu/sites/default/files/styles/large/public/people/lyndon-b-johnson.jpg?itok=x7bEXSa5,Texas
